Crop,Storage_Type,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
Rice,Dry Storage,140,5.9,71.1
Potato,Dry Storage,50,3.0,60.5
Onion,Dry Storage,112,7.8,67.0
Apple,Dry Storage,106,2.6,47.7
Apple,Ambient,5,10.8,60.6
Potato,Cold Storage,122,24.6,88.1
Potato,Dry Storage,107,4.5,46.0
Rice,Cold Storage,97,21.4,47.4
Maize,Dry Storage,155,11.6,84.3
Onion,Cold Storage,75,8.0,50.4
Pulses,Cold Storage,6,10.1,75.2
Onion,Cold Storage,104,4.9,85.2
Potato,Ambient,156,15.2,92.4
Onion,Ambient,92,9.1,82.9
Groundnut,Cold Storage,84,2.9,56.0
Wheat,Ambient,52,2.9,61.4
Sugarcane,Ambient,104,17.1,42.7
Pulses,Cold Storage,49,24.1,54.9
Cotton,Cold Storage,80,14.3,85.9
Banana,Cold Storage,125,21.6,91.6
Apple,Ambient,167,12.5,94.2
Maize,Ambient,97,14.2,69.2
Sugarcane,Cold Storage,102,18.0,66.9
Maize,Dry Storage,151,10.6,42.0
Cotton,Cold Storage,16,19.2,47.3
Rice,Ambient,71,12.8,61.1
Sugarcane,Dry Storage,147,4.5,54.4
Chilli,Dry Storage,176,22.9,56.6
Banana,Cold Storage,128,23.2,83.7
Apple,Cold Storage,72,15.0,71.4
Tomato,Cold Storage,24,20.1,85.1
Groundnut,Ambient,169,25.0,45.3
Wheat,Cold Storage,128,10.0,43.0
Rice,Cold Storage,143,12.2,79.9
Rice,Dry Storage,115,4.3,77.0
Wheat,Cold Storage,26,5.4,72.2
Apple,Dry Storage,142,21.0,90.0
Grapes,Ambient,83,22.1,45.4
Grapes,Ambient,32,13.9,51.6
Grapes,Ambient,12,6.3,59.3
Pulses,Dry Storage,74,10.7,40.4
Potato,Ambient,114,21.6,69.3
Apple,Dry Storage,87,5.6,89.8
Sugarcane,Cold Storage,80,23.3,61.2
Wheat,Ambient,134,21.3,51.1
Cotton,Cold Storage,162,24.3,42.5
Pulses,Cold Storage,5,5.8,42.5
Cotton,Dry Storage,56,18.1,67.2
Maize,Ambient,146,13.2,40.7
Mango,Dry Storage,67,2.2,64.1
Groundnut,Dry Storage,178,18.9,74.6
Potato,Ambient,63,7.4,88.2
Maize,Ambient,24,3.2,58.3
Apple,Dry Storage,167,21.5,65.6
Wheat,Dry Storage,98,20.3,58.6
Onion,Ambient,164,8.9,84.9
Onion,Cold Storage,118,22.8,74.9
Sugarcane,Dry Storage,46,7.9,94.8
Wheat,Cold Storage,9,8.6,83.0
Wheat,Dry Storage,43,2.8,76.7
Pulses,Ambient,127,5.8,72.0
Rice,Ambient,103,4.2,48.8
Chilli,Dry Storage,25,24.2,63.2
Chilli,Cold Storage,148,17.1,65.0
Chilli,Ambient,94,23.6,70.6
Tomato,Dry Storage,177,17.6,75.8
Apple,Ambient,44,23.0,75.2
Groundnut,Dry Storage,24,20.8,69.6
Groundnut,Ambient,102,23.5,60.8
Rice,Ambient,176,13.8,45.4
Wheat,Cold Storage,110,7.1,74.3
Sugarcane,Ambient,165,5.2,88.5
Groundnut,Ambient,149,12.7,70.2
Chilli,Ambient,124,21.5,73.3
Tomato,Ambient,139,22.2,73.4
Cotton,Cold Storage,123,9.3,83.7
Groundnut,Ambient,144,8.5,93.2
Chilli,Cold Storage,21,24.4,66.0
Mango,Dry Storage,96,5.7,51.1
Maize,Ambient,44,2.1,73.0
Banana,Dry Storage,100,3.6,49.7
Maize,Ambient,27,12.4,88.6
Sugarcane,Ambient,106,10.9,71.6
Chilli,Cold Storage,32,23.5,42.8
Tomato,Cold Storage,34,10.4,80.8
Cotton,Ambient,6,5.7,90.9
Banana,Dry Storage,51,6.4,90.2
Sugarcane,Dry Storage,36,22.8,58.9
Tomato,Ambient,15,19.8,74.0
Grapes,Dry Storage,11,13.2,53.9
Wheat,Dry Storage,36,14.8,76.5
Groundnut,Ambient,178,14.9,70.1
Apple,Dry Storage,114,8.1,68.3
Wheat,Cold Storage,36,2.7,41.1
Sugarcane,Dry Storage,157,3.9,50.2
Banana,Dry Storage,74,22.9,53.8
Rice,Dry Storage,92,22.1,57.6
Cotton,Ambient,64,6.6,69.3
Tomato,Dry Storage,138,4.0,75.6
Sugarcane,Dry Storage,83,2.9,89.3
Cotton,Cold Storage,20,19.7,56.0
Groundnut,Cold Storage,143,7.0,65.0
Wheat,Cold Storage,47,6.7,41.5
Apple,Dry Storage,153,14.6,94.5
Cotton,Ambient,142,12.3,51.6
Banana,Dry Storage,70,6.4,48.2
Wheat,Cold Storage,112,15.1,41.7
Onion,Ambient,172,20.5,65.6
Tomato,Ambient,131,24.3,59.0
Sugarcane,Ambient,92,17.3,94.3
Tomato,Ambient,127,17.3,42.4
Rice,Ambient,169,18.4,46.8
Groundnut,Dry Storage,116,6.0,48.8
Banana,Dry Storage,142,2.4,94.0
Grapes,Ambient,164,7.2,94.1
Wheat,Ambient,150,2.0,42.9
Mango,Ambient,89,23.0,79.2
Chilli,Ambient,37,9.5,49.5
Chilli,Dry Storage,83,2.9,69.3
Mango,Dry Storage,88,9.6,71.9
Rice,Ambient,159,6.7,93.0
Groundnut,Cold Storage,160,2.7,69.0
Mango,Ambient,51,23.2,77.9
Maize,Dry Storage,19,7.8,87.3
Onion,Cold Storage,135,11.0,45.6
Maize,Dry Storage,147,2.1,77.5
Mango,Ambient,41,22.2,90.0
Chilli,Cold Storage,161,23.0,67.3
Onion,Dry Storage,100,4.3,55.2
Rice,Dry Storage,97,5.2,72.1
Chilli,Ambient,18,18.4,83.4
Pulses,Ambient,130,14.6,47.5
Chilli,Ambient,113,20.6,63.9
Mango,Dry Storage,109,8.8,91.4
Pulses,Ambient,17,17.8,57.5
Wheat,Cold Storage,71,5.8,70.8
Grapes,Ambient,71,13.1,40.2
Apple,Cold Storage,95,4.7,66.5
Mango,Cold Storage,111,14.5,81.0
Banana,Dry Storage,107,3.2,63.8
Grapes,Dry Storage,159,10.3,90.5
Onion,Dry Storage,139,6.0,58.2
Groundnut,Cold Storage,27,9.4,70.5
Potato,Ambient,100,10.2,65.5
Maize,Ambient,161,10.1,72.4
Groundnut,Dry Storage,132,17.8,71.5
Chilli,Ambient,140,12.8,86.0
Pulses,Ambient,133,14.5,45.8
Grapes,Dry Storage,112,20.9,88.6
Mango,Cold Storage,36,13.2,82.3
Maize,Ambient,49,12.5,83.8
Rice,Cold Storage,47,23.8,86.9
Potato,Dry Storage,166,19.2,61.3
Grapes,Ambient,44,19.8,59.6
Sugarcane,Cold Storage,116,15.4,63.7
Onion,Ambient,155,9.6,93.1
Grapes,Ambient,92,9.5,41.0
Grapes,Dry Storage,138,14.3,74.7
Banana,Dry Storage,51,24.2,65.8
Rice,Cold Storage,101,7.4,90.3
Rice,Dry Storage,141,19.6,89.5
Pulses,Ambient,63,10.6,53.7
Cotton,Dry Storage,85,24.7,60.7
Sugarcane,Cold Storage,60,24.7,79.4
Mango,Cold Storage,178,22.0,50.6
Tomato,Ambient,101,13.2,69.3
Groundnut,Cold Storage,155,24.5,71.3
Apple,Ambient,174,24.0,82.1
Grapes,Cold Storage,87,8.8,81.9
Mango,Cold Storage,168,18.6,47.6
Pulses,Ambient,53,7.6,77.8
Onion,Dry Storage,145,19.8,76.5
Grapes,Cold Storage,89,22.3,61.4
Rice,Ambient,109,20.4,68.3
Chilli,Cold Storage,86,3.2,54.7
Chilli,Cold Storage,120,24.0,46.5
Cotton,Cold Storage,15,19.1,94.1
Rice,Dry Storage,34,22.5,71.8
Rice,Cold Storage,63,17.9,48.7
Onion,Cold Storage,126,17.0,71.8
Grapes,Cold Storage,11,20.8,76.3
Cotton,Dry Storage,168,23.0,88.5
Sugarcane,Ambient,176,12.8,75.8
Cotton,Dry Storage,49,2.7,44.6
Wheat,Dry Storage,122,17.3,55.8
Apple,Dry Storage,133,10.8,52.4
Groundnut,Ambient,5,7.1,67.7
Apple,Cold Storage,85,2.6,63.4
Pulses,Dry Storage,45,10.2,42.5
Chilli,Ambient,165,16.8,88.8
Wheat,Ambient,93,14.7,42.4
Pulses,Cold Storage,82,21.4,60.5
Sugarcane,Ambient,123,15.5,83.6
Rice,Cold Storage,177,10.5,70.6
Maize,Cold Storage,119,8.8,72.4
Cotton,Ambient,88,17.4,82.5
Tomato,Cold Storage,132,17.8,57.6
Onion,Cold Storage,146,11.6,49.3
Potato,Dry Storage,73,13.7,68.0
Onion,Ambient,78,18.2,63.0
Rice,Ambient,51,22.9,94.4
Apple,Cold Storage,92,6.4,72.3
Sugarcane,Dry Storage,109,16.7,94.4
Pulses,Ambient,50,14.7,43.6
Sugarcane,Ambient,129,5.2,77.2
Banana,Dry Storage,75,14.4,43.7
Sugarcane,Cold Storage,67,19.3,69.5
Rice,Cold Storage,9,18.1,78.6
Wheat,Cold Storage,96,7.8,67.0
Apple,Cold Storage,30,10.6,72.6
Pulses,Cold Storage,47,23.4,43.5
Potato,Cold Storage,44,5.0,47.2
Banana,Dry Storage,69,5.3,47.8
Groundnut,Dry Storage,159,22.0,44.1
Apple,Cold Storage,124,8.4,72.1
Sugarcane,Ambient,66,5.0,62.8
Banana,Dry Storage,143,14.7,81.3
Onion,Cold Storage,76,14.0,81.3
Sugarcane,Ambient,5,23.6,69.7
Chilli,Cold Storage,159,4.7,91.6
Banana,Cold Storage,97,9.0,43.5
Wheat,Dry Storage,120,2.6,46.0
Tomato,Ambient,64,6.3,66.3
Groundnut,Cold Storage,169,11.0,54.3
Potato,Ambient,57,19.0,88.8
Sugarcane,Cold Storage,146,6.7,78.1
Potato,Cold Storage,45,24.1,66.8
Grapes,Dry Storage,38,19.9,60.7
Rice,Dry Storage,163,15.9,90.8
Wheat,Dry Storage,63,18.7,45.2
Mango,Cold Storage,63,16.7,93.9
Pulses,Dry Storage,96,5.5,46.9
Potato,Dry Storage,28,21.0,64.2
Sugarcane,Dry Storage,85,20.3,45.7
Pulses,Ambient,73,10.9,61.2
Maize,Dry Storage,80,18.2,65.0
Apple,Dry Storage,111,6.3,68.4
Wheat,Dry Storage,56,3.2,70.7
Chilli,Dry Storage,158,18.8,70.4
Maize,Cold Storage,120,18.2,48.9
Rice,Ambient,11,18.5,67.3
Banana,Ambient,81,5.3,84.1
Tomato,Dry Storage,44,10.0,55.1
Sugarcane,Cold Storage,79,12.4,68.4
Onion,Cold Storage,45,4.8,93.4
Mango,Cold Storage,146,22.6,85.9
Mango,Cold Storage,129,15.4,53.7
Potato,Ambient,63,25.0,47.0
Wheat,Ambient,64,19.2,71.1
Mango,Cold Storage,120,6.9,69.3
Grapes,Ambient,139,9.2,79.1
Pulses,Dry Storage,87,17.3,78.0
Wheat,Dry Storage,167,10.6,48.3
Maize,Cold Storage,43,14.6,40.3
Cotton,Cold Storage,122,4.3,68.2
Banana,Ambient,157,17.0,90.2
Mango,Ambient,54,22.7,81.8
Pulses,Dry Storage,159,13.3,48.5
Tomato,Ambient,60,6.9,74.0
Cotton,Cold Storage,147,23.8,72.9
Banana,Ambient,156,21.9,65.6
Pulses,Dry Storage,143,6.3,73.3
Potato,Ambient,102,14.0,70.3
Onion,Ambient,87,24.2,87.3
Cotton,Dry Storage,13,14.4,61.3
Rice,Ambient,45,16.6,57.9
Groundnut,Cold Storage,138,21.0,74.7
Pulses,Dry Storage,146,9.8,72.2
Chilli,Dry Storage,64,22.1,72.2
Pulses,Dry Storage,96,7.3,69.7
Mango,Ambient,167,3.7,70.9
Maize,Ambient,28,6.7,52.7
Banana,Ambient,78,3.3,40.5
Groundnut,Cold Storage,65,14.4,70.5
Maize,Dry Storage,75,18.6,71.1
Tomato,Ambient,172,2.4,56.1
Sugarcane,Ambient,111,17.6,45.3
Tomato,Ambient,24,19.4,94.5
Sugarcane,Dry Storage,112,20.6,56.7
Grapes,Ambient,85,21.1,51.1
Sugarcane,Dry Storage,74,21.5,69.3
Sugarcane,Ambient,159,6.9,65.1
Banana,Cold Storage,121,6.3,71.8
Groundnut,Dry Storage,21,16.7,54.4
Pulses,Dry Storage,126,13.8,91.1
Tomato,Ambient,98,8.7,94.5
Potato,Ambient,86,20.5,72.3
Rice,Dry Storage,98,13.5,75.3
Groundnut,Dry Storage,108,4.4,85.2
Grapes,Ambient,85,14.2,83.5
Maize,Ambient,42,10.4,53.6
Rice,Ambient,88,16.1,52.9
Wheat,Dry Storage,58,8.2,61.2
Rice,Ambient,52,11.8,65.1
Sugarcane,Cold Storage,116,11.8,44.0
Onion,Cold Storage,156,23.3,54.6
Apple,Ambient,77,23.8,64.7
Apple,Dry Storage,151,8.9,49.7
Banana,Ambient,20,5.1,92.4
Maize,Dry Storage,69,8.1,52.7
Potato,Ambient,171,21.7,87.7
Chilli,Ambient,78,7.1,51.4
Potato,Cold Storage,98,7.5,92.3
Mango,Cold Storage,151,6.4,85.5
Chilli,Ambient,124,11.1,68.0
Mango,Dry Storage,111,17.5,85.8
Groundnut,Cold Storage,176,24.6,61.5
Rice,Cold Storage,97,3.4,49.0
Wheat,Ambient,52,14.0,53.0
Onion,Ambient,52,14.1,76.8
Apple,Ambient,21,20.9,86.5
Rice,Dry Storage,168,23.2,44.2
Mango,Ambient,8,2.2,43.9
Maize,Ambient,137,24.8,74.5
Banana,Cold Storage,23,2.2,43.3
Cotton,Ambient,113,5.6,72.3
Pulses,Dry Storage,32,17.0,60.4
Mango,Ambient,163,3.6,86.5
Sugarcane,Dry Storage,87,11.2,43.4
Pulses,Dry Storage,67,3.9,60.8
Rice,Cold Storage,59,17.9,43.9
Groundnut,Cold Storage,141,7.4,45.2
Banana,Ambient,135,9.2,55.9
Cotton,Dry Storage,101,18.3,54.9
Banana,Cold Storage,83,23.7,84.4
Mango,Dry Storage,100,2.3,42.4
Groundnut,Ambient,141,2.1,64.4
Maize,Dry Storage,12,9.0,46.2
Groundnut,Dry Storage,10,19.4,51.0
Potato,Dry Storage,22,12.1,60.2
Apple,Dry Storage,93,6.4,45.8
Grapes,Ambient,20,5.6,50.9
Banana,Dry Storage,37,4.7,75.6
Sugarcane,Ambient,117,24.4,41.1
Apple,Ambient,65,23.3,70.3
Sugarcane,Dry Storage,118,15.5,62.6
Sugarcane,Dry Storage,121,19.5,74.3
Pulses,Dry Storage,6,13.9,94.8
Maize,Ambient,51,21.8,78.5
Chilli,Cold Storage,48,22.3,68.8
Chilli,Ambient,90,20.6,79.0
Sugarcane,Dry Storage,126,11.1,79.8
Mango,Cold Storage,176,6.7,63.5
Cotton,Cold Storage,125,22.9,88.3
Grapes,Cold Storage,155,3.1,88.2
Chilli,Dry Storage,140,24.4,93.4
Pulses,Ambient,73,12.2,61.1
Mango,Dry Storage,109,8.8,52.6
Maize,Ambient,98,10.5,47.7
Rice,Dry Storage,38,22.7,63.2
Groundnut,Ambient,129,8.0,62.6
Mango,Cold Storage,162,11.0,46.0
Apple,Dry Storage,21,24.7,73.5
Apple,Dry Storage,140,2.8,91.8
Rice,Ambient,43,19.6,84.6
Wheat,Ambient,145,11.6,74.9
Tomato,Cold Storage,179,15.4,64.5
Mango,Ambient,105,3.2,52.5
Sugarcane,Ambient,117,7.9,40.0
Banana,Dry Storage,126,6.4,70.9
Cotton,Ambient,168,19.9,75.1
Chilli,Cold Storage,172,21.1,41.7
Grapes,Cold Storage,37,24.1,69.1
Chilli,Ambient,51,9.6,60.1
Pulses,Cold Storage,122,16.2,62.6
Chilli,Dry Storage,143,15.2,79.9
Chilli,Cold Storage,53,15.6,44.0
Cotton,Cold Storage,74,2.7,82.4
Potato,Ambient,7,24.0,78.1
Cotton,Cold Storage,91,9.8,54.8
Wheat,Dry Storage,173,12.4,61.5
Banana,Ambient,60,22.9,89.5
Banana,Cold Storage,66,11.8,66.5
Onion,Ambient,113,2.2,83.2
Rice,Dry Storage,101,2.9,40.7
Cotton,Cold Storage,113,22.8,76.9
Grapes,Cold Storage,172,15.4,74.3
Rice,Cold Storage,179,5.3,45.5
Banana,Cold Storage,146,21.6,62.2
Grapes,Cold Storage,109,10.6,63.4
Rice,Cold Storage,113,9.2,57.7
Mango,Ambient,40,5.3,53.3
Grapes,Cold Storage,25,13.5,63.6
Potato,Ambient,134,2.7,47.5
Sugarcane,Dry Storage,15,9.3,59.1
Rice,Cold Storage,86,9.6,73.3
Grapes,Ambient,115,22.4,94.6
Rice,Cold Storage,18,12.4,77.3
Onion,Cold Storage,23,22.7,43.6
Maize,Cold Storage,138,5.1,68.3
Sugarcane,Ambient,57,20.9,69.0
Mango,Cold Storage,64,6.5,87.1
Grapes,Dry Storage,155,12.3,63.6
Chilli,Dry Storage,156,15.6,40.4
Pulses,Dry Storage,127,2.9,60.6
Groundnut,Dry Storage,82,16.2,75.4
Wheat,Cold Storage,16,5.7,71.5
Apple,Cold Storage,76,16.2,57.7
Tomato,Ambient,165,5.0,63.3
Banana,Ambient,45,3.5,88.7
Potato,Cold Storage,133,18.6,43.6
Tomato,Ambient,161,19.8,71.7
Wheat,Cold Storage,57,5.7,54.3
Onion,Ambient,145,15.4,57.8
Apple,Cold Storage,107,24.2,43.5
Cotton,Dry Storage,32,19.9,63.1
Pulses,Dry Storage,131,9.4,55.2
Cotton,Dry Storage,102,23.1,56.9
Mango,Dry Storage,101,17.3,67.1
Mango,Dry Storage,122,7.3,92.1
Banana,Ambient,8,13.4,50.3
Chilli,Dry Storage,134,17.0,75.0
Mango,Ambient,19,4.3,83.3
Sugarcane,Ambient,23,10.8,77.5
Banana,Dry Storage,38,13.4,57.2
Cotton,Dry Storage,144,22.5,92.0
Cotton,Dry Storage,98,23.7,78.6
Rice,Cold Storage,145,16.9,81.1
Potato,Ambient,62,10.7,84.6
Wheat,Ambient,86,24.5,63.0
Wheat,Ambient,118,20.7,54.0
Cotton,Cold Storage,60,22.4,45.7
Onion,Dry Storage,23,19.2,84.5
Groundnut,Ambient,156,9.0,45.8
Tomato,Cold Storage,117,21.8,68.6
Grapes,Dry Storage,98,5.7,87.9
Grapes,Ambient,45,2.1,92.6
Potato,Ambient,112,17.2,60.2
Apple,Dry Storage,169,10.2,67.4
Maize,Ambient,177,23.5,54.7
Onion,Ambient,120,8.5,55.0
Grapes,Dry Storage,6,7.0,55.5
Mango,Ambient,64,9.9,68.4
Rice,Dry Storage,169,23.8,85.0
Maize,Dry Storage,176,8.1,50.9
Banana,Ambient,98,15.2,68.3
Tomato,Dry Storage,10,7.5,56.9
Banana,Dry Storage,138,9.9,65.6
Tomato,Ambient,118,12.9,73.5
Apple,Dry Storage,49,19.0,67.6
Apple,Ambient,35,6.4,77.0
Wheat,Dry Storage,65,4.4,79.7
Pulses,Dry Storage,64,18.8,66.4
Grapes,Ambient,8,14.2,67.5
Apple,Dry Storage,45,17.2,72.3
Rice,Ambient,19,10.5,85.3
Apple,Cold Storage,112,22.4,79.1
Chilli,Dry Storage,132,9.8,41.4
Apple,Cold Storage,101,2.4,67.1
Maize,Dry Storage,5,11.3,78.9
Groundnut,Ambient,89,22.8,50.0
Onion,Ambient,125,7.8,92.8
Rice,Dry Storage,55,14.9,93.3
Chilli,Dry Storage,83,16.2,51.7
Grapes,Dry Storage,168,21.9,52.5
Tomato,Ambient,112,17.7,67.8
Banana,Ambient,165,7.2,72.0
Rice,Cold Storage,84,11.6,41.7
Cotton,Dry Storage,82,3.5,63.6
Grapes,Cold Storage,50,20.9,93.2
Banana,Ambient,116,11.0,89.4
Onion,Dry Storage,136,24.8,47.7
Groundnut,Ambient,140,6.7,59.7
Apple,Cold Storage,23,23.1,89.8
Maize,Cold Storage,150,17.5,50.3
Potato,Dry Storage,94,17.3,67.7
Chilli,Cold Storage,85,23.5,69.2
Cotton,Ambient,21,21.0,81.6
Wheat,Ambient,115,7.9,46.4
Rice,Dry Storage,72,21.8,76.8
Sugarcane,Ambient,29,20.0,49.1
Banana,Ambient,29,2.1,87.9
Potato,Ambient,58,2.9,74.1
Maize,Dry Storage,153,23.6,63.4
Rice,Dry Storage,72,22.8,70.2
Onion,Ambient,37,12.0,89.1
Mango,Cold Storage,138,7.3,65.4
Potato,Ambient,172,9.7,87.2
Tomato,Dry Storage,18,4.3,49.9
Grapes,Ambient,110,19.9,63.4
Banana,Ambient,46,13.1,60.7
Banana,Dry Storage,42,15.2,90.9
Grapes,Ambient,85,7.0,93.0
Cotton,Ambient,19,16.1,81.4
Tomato,Dry Storage,35,16.1,47.9
Tomato,Ambient,103,24.2,90.8
Pulses,Ambient,46,13.5,54.7
Sugarcane,Ambient,54,19.4,79.0
Sugarcane,Dry Storage,79,3.0,89.4
Groundnut,Cold Storage,78,6.5,74.2
Pulses,Ambient,103,6.1,74.7
Cotton,Ambient,157,14.7,90.6
Grapes,Dry Storage,60,23.1,94.0
Rice,Cold Storage,48,23.7,42.8
Chilli,Cold Storage,7,15.6,56.4
Pulses,Ambient,76,16.0,64.3
Tomato,Dry Storage,174,3.8,77.8
Pulses,Cold Storage,152,12.4,63.8
Maize,Ambient,82,17.5,74.1
Apple,Ambient,92,17.5,85.8
Tomato,Cold Storage,86,15.5,54.6
Chilli,Cold Storage,23,2.5,79.6
Grapes,Dry Storage,63,8.6,48.3
Banana,Dry Storage,109,8.8,82.4
Chilli,Cold Storage,14,8.5,59.9
Pulses,Ambient,51,14.9,64.5
Potato,Dry Storage,89,23.9,84.1
Chilli,Cold Storage,73,17.5,77.7
Banana,Dry Storage,32,7.7,73.8
Cotton,Cold Storage,163,17.4,94.0
Potato,Ambient,35,21.3,59.8
Groundnut,Dry Storage,99,17.7,94.1
Tomato,Cold Storage,114,3.0,94.3
Maize,Ambient,125,8.0,46.3
Mango,Ambient,70,21.5,54.8
Sugarcane,Dry Storage,107,12.3,62.6
Grapes,Dry Storage,151,16.7,78.7
Rice,Dry Storage,42,3.8,45.2
Chilli,Dry Storage,86,8.0,50.5
Banana,Ambient,37,11.5,45.9
Tomato,Dry Storage,57,21.1,89.6
Grapes,Ambient,54,11.5,52.2
Chilli,Cold Storage,174,11.0,94.8
Maize,Ambient,57,13.3,54.4
Pulses,Cold Storage,168,23.6,45.3
Pulses,Ambient,176,12.9,58.7
Onion,Ambient,70,16.3,82.9
Apple,Cold Storage,36,3.8,92.4
Wheat,Ambient,134,5.2,43.2
Tomato,Cold Storage,170,16.9,79.7
Apple,Ambient,172,14.3,40.5
Pulses,Cold Storage,150,22.1,65.5
Apple,Dry Storage,156,23.9,50.9
Grapes,Dry Storage,156,23.1,45.0
Onion,Dry Storage,173,17.1,82.9
Mango,Ambient,149,8.2,58.8
Cotton,Dry Storage,102,12.4,56.3
Grapes,Ambient,49,20.5,64.7
Sugarcane,Cold Storage,75,18.3,66.5
Pulses,Cold Storage,9,12.5,93.2
Onion,Ambient,34,7.6,74.2
Onion,Dry Storage,31,4.2,62.0
Rice,Cold Storage,8,10.3,86.5
Potato,Dry Storage,21,3.4,78.5
Chilli,Cold Storage,131,6.7,89.0
Rice,Ambient,61,9.5,41.2
Onion,Cold Storage,12,22.4,69.6
Groundnut,Ambient,45,7.1,77.2
Wheat,Cold Storage,33,17.7,92.6
Rice,Dry Storage,27,14.3,60.4
Chilli,Dry Storage,141,14.0,63.8
Tomato,Ambient,13,19.0,47.8
Rice,Dry Storage,85,13.5,87.0
Grapes,Dry Storage,92,25.0,78.1
Rice,Ambient,169,4.5,63.1
Banana,Dry Storage,177,2.7,70.3
Grapes,Ambient,5,20.5,92.0
Grapes,Ambient,80,22.4,57.3
Sugarcane,Dry Storage,79,25.0,76.1
Rice,Cold Storage,99,15.4,93.5
Rice,Cold Storage,51,21.5,77.0
Chilli,Dry Storage,173,17.2,56.1
Grapes,Ambient,119,14.6,81.4
Potato,Cold Storage,126,4.3,53.1
Tomato,Ambient,80,5.5,85.4
Tomato,Ambient,61,4.3,64.6
Mango,Dry Storage,98,11.7,93.6
Wheat,Cold Storage,58,2.8,66.5
Chilli,Cold Storage,123,7.6,53.5
Onion,Cold Storage,28,14.8,74.5
Onion,Ambient,23,14.4,51.2
Groundnut,Dry Storage,65,6.7,70.7
Tomato,Ambient,53,16.6,44.5
Maize,Dry Storage,116,20.1,73.1
Maize,Cold Storage,56,9.3,47.8
Cotton,Dry Storage,110,19.0,86.3
Cotton,Dry Storage,165,10.9,75.8
Maize,Dry Storage,153,9.9,88.3
Tomato,Cold Storage,55,20.0,46.0
Cotton,Cold Storage,138,19.2,46.3
Grapes,Cold Storage,51,16.4,44.6
Pulses,Cold Storage,96,4.1,50.7
Cotton,Dry Storage,162,8.3,60.1
Chilli,Ambient,66,12.1,68.5
Potato,Dry Storage,5,5.0,70.7
Potato,Dry Storage,144,21.5,82.7
Pulses,Dry Storage,37,15.2,74.7
Wheat,Cold Storage,84,11.2,85.6
Maize,Dry Storage,163,20.1,45.5
Grapes,Ambient,164,17.4,86.1
Pulses,Ambient,42,17.5,87.3
Grapes,Cold Storage,43,10.8,56.6
Maize,Cold Storage,45,21.1,73.3
Wheat,Dry Storage,169,15.8,53.2
Maize,Ambient,70,23.5,61.9
Cotton,Dry Storage,177,3.6,65.0
Tomato,Cold Storage,58,12.8,82.3
Onion,Cold Storage,42,12.0,70.3
Wheat,Ambient,79,14.6,60.7
Cotton,Ambient,171,11.8,81.5
Grapes,Ambient,98,18.7,91.3
Sugarcane,Cold Storage,35,21.2,42.8
Potato,Cold Storage,75,4.8,74.5
Apple,Ambient,10,13.9,60.8
Sugarcane,Dry Storage,150,7.3,64.4
Wheat,Cold Storage,173,17.1,83.5
Grapes,Cold Storage,144,9.2,92.2
Banana,Dry Storage,75,22.4,59.7
Potato,Ambient,16,17.9,83.3
Sugarcane,Cold Storage,31,9.2,45.4
Grapes,Ambient,43,19.4,49.0
Mango,Ambient,141,2.8,83.8
Grapes,Ambient,113,15.9,78.1
Grapes,Dry Storage,150,4.3,64.3
Maize,Dry Storage,111,8.4,60.0
Maize,Dry Storage,129,3.2,55.0
Chilli,Dry Storage,42,5.9,44.4
Banana,Dry Storage,139,2.2,65.6
Pulses,Ambient,46,22.1,42.2
Chilli,Dry Storage,171,12.7,62.0
Chilli,Cold Storage,39,8.4,61.2
Pulses,Ambient,65,7.8,49.2
Wheat,Cold Storage,80,7.1,40.1
Chilli,Cold Storage,68,16.5,58.3
Mango,Cold Storage,80,4.5,74.0
Sugarcane,Dry Storage,49,11.6,40.5
Pulses,Cold Storage,152,21.9,60.9
Mango,Dry Storage,121,11.3,94.8
Tomato,Dry Storage,72,9.2,56.5
Potato,Cold Storage,159,7.4,88.9
Mango,Cold Storage,107,5.4,40.2
Onion,Dry Storage,27,10.5,79.3
Grapes,Ambient,7,21.5,74.0
Mango,Cold Storage,143,9.3,74.0
Wheat,Ambient,154,24.6,40.6
Apple,Cold Storage,162,19.8,86.4
Groundnut,Ambient,53,20.3,55.2
Maize,Ambient,157,5.5,89.6
Cotton,Dry Storage,132,16.6,56.3
Cotton,Cold Storage,138,21.6,72.1
Groundnut,Cold Storage,8,23.5,91.7
Maize,Dry Storage,70,3.2,92.8
Sugarcane,Cold Storage,10,24.6,75.6
Pulses,Ambient,120,23.3,63.5
Chilli,Ambient,85,19.4,89.1
Maize,Dry Storage,45,13.0,92.8
Cotton,Cold Storage,31,10.0,77.6
Pulses,Ambient,150,8.0,69.0
Cotton,Ambient,82,11.8,83.2
Groundnut,Ambient,10,14.4,81.8
Potato,Ambient,104,21.4,94.9
Sugarcane,Dry Storage,52,18.9,54.1
Groundnut,Cold Storage,52,19.4,84.1
Potato,Cold Storage,31,24.4,45.3
Sugarcane,Cold Storage,42,10.6,68.8
Cotton,Dry Storage,66,22.8,51.2
Chilli,Cold Storage,102,20.3,81.4
Pulses,Cold Storage,165,6.5,45.7
Sugarcane,Ambient,95,15.0,64.4
Rice,Dry Storage,75,4.9,75.3
Chilli,Ambient,15,7.0,86.1
Grapes,Cold Storage,167,23.4,46.0
Rice,Ambient,164,19.4,72.1
